"k","f1_score"
3,0.785185185185185
3,0.789081885856079
3,0.778054862842893
3,0.785185185185185
3,0.787878787878788
3,0.753768844221105
3,0.78921568627451
3,0.775
3,0.803970223325062
3,0.825471698113208
3,0.768856447688564
3,0.716981132075472
3,0.802919708029197
3,0.787286063569682
3,0.8
3,0.804938271604938
3,0.753694581280788
3,0.805896805896806
3,0.809876543209877
3,0.768472906403941
3,0.776699029126213
3,0.788029925187032
3,0.798029556650246
3,0.809638554216867
3,0.765743073047859
3,0.808823529411765
3,0.808612440191388
3,0.769620253164557
3,0.793187347931874
3,0.795180722891566
5,0.769874476987448
5,0.841698841698842
5,0.814516129032258
5,0.790123456790124
5,0.754237288135593
5,0.844621513944223
5,0.758333333333333
5,0.812749003984064
5,0.8
5,0.808333333333333
5,0.791666666666667
5,0.782258064516129
5,0.756302521008403
5,0.829268292682927
5,0.819277108433735
5,0.806451612903226
5,0.82258064516129
5,0.801652892561983
5,0.753138075313808
5,0.808163265306122
5,0.803347280334728
5,0.788617886178862
5,0.741666666666667
5,0.783333333333333
5,0.821705426356589
5,0.795180722891566
5,0.792
5,0.825910931174089
5,0.816326530612245
5,0.806584362139918
5,0.780487804878049
5,0.786610878661088
5,0.8300395256917
5,0.786610878661088
5,0.8
5,0.783673469387755
5,0.806451612903226
5,0.819277108433735
5,0.748936170212766
5,0.798418972332016
5,0.796747967479675
5,0.768595041322314
5,0.82258064516129
5,0.791836734693877
5,0.809716599190283
5,0.809338521400778
5,0.874524714828897
5,0.763948497854077
5,0.776859504132231
5,0.786885245901639
10,0.756302521008403
10,0.827067669172932
10,0.741379310344828
10,0.816
10,0.786324786324786
10,0.825396825396825
10,0.878787878787879
10,0.875
10,0.717948717948718
10,0.819672131147541
10,0.881889763779528
10,0.83969465648855
10,0.836065573770492
10,0.776859504132231
10,0.735042735042735
10,0.8
10,0.783333333333333
10,0.778625954198473
10,0.773109243697479
10,0.8
10,0.819672131147541
10,0.837209302325581
10,0.766666666666667
10,0.78125
10,0.760330578512397
10,0.809917355371901
10,0.841269841269841
10,0.790322580645161
10,0.809917355371901
10,0.806451612903226
10,0.850393700787402
10,0.714285714285714
10,0.724137931034483
10,0.829268292682927
10,0.857142857142857
10,0.739495798319328
10,0.834645669291339
10,0.773109243697479
10,0.882352941176471
10,0.825396825396825
10,0.8
10,0.848484848484849
10,0.735042735042735
10,0.838709677419355
10,0.826446280991735
10,0.854838709677419
10,0.806451612903226
10,0.825396825396825
10,0.719298245614035
10,0.8
10,0.80952380952381
10,0.832
10,0.8
10,0.776859504132231
10,0.796610169491525
10,0.809917355371901
10,0.832
10,0.766666666666667
10,0.75
10,0.8
10,0.875
10,0.770491803278688
10,0.834645669291339
10,0.796992481203007
10,0.793388429752066
10,0.714285714285714
10,0.779661016949153
10,0.8
10,0.790697674418605
10,0.863636363636364
10,0.850393700787402
10,0.819672131147541
10,0.815384615384615
10,0.80952380952381
10,0.793388429752066
10,0.782608695652174
10,0.8
10,0.776859504132231
10,0.779661016949153
10,0.76271186440678
10,0.756302521008403
10,0.789915966386555
10,0.806451612903226
10,0.875
10,0.82258064516129
10,0.848484848484849
10,0.793388429752066
10,0.775862068965517
10,0.780487804878049
10,0.710743801652893
10,0.735042735042735
10,0.743801652892562
10,0.84375
10,0.782608695652174
10,0.845528455284553
10,0.75
10,0.783333333333333
10,0.878787878787879
10,0.764227642276423
10,0.818181818181818
